赛别,场数,胜负,胜率,得分,助攻,抢断,盖帽,失误,犯规,篮板,前板,后板,投篮,投篮命中率,三分,三分命中率,罚球,罚球命中率
常规赛,82,64/18,0.78,120.6,26.9,6.8,6.6,11.3,16.2,46.3,10.7,35.6,43.9/90.2,0.487,16.5/42.4,0.389,16.3/20.2,0.807
季后赛,19,3/16,0.842,108.8,23.8,6.3,5.4,10.2,15.7,43.1,9.7,33.4,39.3/83.8,0.469,14.5/40.2,0.361,15.7/19.3,0.812
